,ID,Gender,Ever_Married,Graduated,Profession,Spending_Score,Family_Size,Var_1,Segmentation,Age,Work_Experience
0,462809,Male,No,No,Healthcare,Low,4.0,Cat_4,D,22.0,1.0
1,462643,Female,Yes,Yes,Engineer,Average,3.0,Cat_4,A,38.0,6.0
2,466315,Female,Yes,Yes,Engineer,Low,1.0,Cat_6,B,67.0,1.0
3,461735,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,B,67.0,0.0
4,462669,Female,Yes,Yes,Entertainment,High,6.0,Cat_6,A,40.0,4.0
5,461319,Male,Yes,No,Artist,Average,2.0,Cat_6,C,56.0,0.0
6,460156,Male,No,Yes,Healthcare,Low,3.0,Cat_6,C,32.0,1.0
7,464347,Female,No,Yes,Healthcare,Low,3.0,Cat_6,D,33.0,1.0
8,465015,Female,Yes,Yes,Engineer,Low,3.0,Cat_7,D,61.0,0.0
9,465176,Female,Yes,Yes,Artist,Average,4.0,Cat_6,C,55.0,1.0
10,464041,Female,No,Yes,Engineer,Low,3.0,Cat_6,A,26.0,1.0
11,464942,Male,No,No,Healthcare,Low,4.0,Cat_4,D,19.0,4.0
13,459573,Male,Yes,No,Lawyer,Low,1.0,Cat_6,A,70.0,2.0
14,460849,Female,Yes,No,Doctor,Low,1.0,Cat_3,B,58.0,0.0
15,460563,Female,No,No,Healthcare,Low,2.0,Cat_1,C,41.0,1.0
16,466865,Female,No,No,Homemaker,Low,5.0,Cat_3,D,32.0,9.0
17,461644,Male,No,No,Healthcare,Low,6.0,Cat_6,B,31.0,1.0
18,466772,Male,Yes,Yes,Entertainment,Average,4.0,Cat_6,B,58.0,1.0
19,464291,Female,Yes,Yes,Artist,High,1.0,Cat_6,C,79.0,0.0
20,466084,Male,Yes,Yes,Homemaker,Low,1.0,Cat_3,A,49.0,12.0
21,459675,Female,No,No,Healthcare,Low,4.0,Cat_6,D,18.0,3.0
22,465602,Male,Yes,Yes,Artist,Low,2.0,Cat_3,A,33.0,13.0
23,459168,Female,No,Yes,Artist,Low,2.0,Cat_6,B,36.0,5.0
25,465083,Male,Yes,No,Artist,Average,3.0,Cat_6,C,56.0,1.0
