ID,Gender,Ever_Married,Graduated,Profession,Spending_Score,Family_Size,Var_1,Segmentation,Age,Work_Experience
462809,Male,No,No,Healthcare,Low,4.0,Cat_4,D,22.0,1.0
462643,Female,Yes,Yes,Engineer,Average,3.0,Cat_4,A,38.0,6.0
466315,Female,Yes,Yes,Engineer,Low,1.0,Cat_6,B,67.0,1.0
461735,Male,Yes,Yes,Lawyer,High,2.0,Cat_6,B,67.0,0.0
462669,Female,Yes,Yes,Entertainment,High,6.0,Cat_6,A,40.0,4.0
461319,Male,Yes,No,Artist,Average,2.0,Cat_6,C,56.0,0.0
460156,Male,No,Yes,Healthcare,Low,3.0,Cat_6,C,32.0,1.0
464347,Female,No,Yes,Healthcare,Low,3.0,Cat_6,D,33.0,1.0
465015,Female,Yes,Yes,Engineer,Low,3.0,Cat_7,D,61.0,0.0
465176,Female,Yes,Yes,Artist,Average,4.0,Cat_6,C,55.0,1.0
464041,Female,No,Yes,Engineer,Low,3.0,Cat_6,A,26.0,1.0
464942,Male,No,No,Healthcare,Low,4.0,Cat_4,D,19.0,4.0
459573,Male,Yes,No,Lawyer,Low,1.0,Cat_6,A,70.0,2.0
460849,Female,Yes,No,Doctor,Low,1.0,Cat_3,B,58.0,0.0
460563,Female,No,No,Healthcare,Low,2.0,Cat_1,C,41.0,1.0
466865,Female,No,No,Other,Low,5.0,Cat_3,D,32.0,9.0
461644,Male,No,No,Healthcare,Low,6.0,Cat_6,B,31.0,1.0
466772,Male,Yes,Yes,Entertainment,Average,4.0,Cat_6,B,58.0,1.0
464291,Female,Yes,Yes,Artist,High,1.0,Cat_6,C,79.0,0.0
466084,Male,Yes,Yes,Other,Low,1.0,Cat_3,A,49.0,12.0
459675,Female,No,No,Healthcare,Low,4.0,Cat_6,D,18.0,3.0
465602,Male,Yes,Yes,Artist,Low,2.0,Cat_3,A,33.0,13.0
459168,Female,No,Yes,Artist,Low,2.0,Cat_6,B,36.0,5.0
465083,Male,Yes,No,Artist,Average,3.0,Cat_6,C,56.0,1.0
467604,Male,No,No,Healthcare,Low,8.0,Cat_4,A,31.0,9.0
459717,Male,Yes,Yes,Artist,Average,3.0,Cat_6,C,49.0,1.0
465882,Male,No,Yes,Artist,Low,1.0,Cat_6,B,35.0,0.0
